,Unnamed: 0,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,Y1hat_responses,Y0hat_responses,Y1hat,Y0hat
29,29,0.0,5.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,30.0,1.0,5.0,5.0,1.0,11.0,5.0,1.0,1.0,2.0,1.0,4.0,"[4, 4, 4, 4, 4, 4, 2, 5, 4, 5]","[5, 4, 4, 2, 4, 4, 5, 2]",4.0,3.75
30,30,0.0,1.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,34.0,1.0,3.0,1.0,1.0,16.0,3.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
31,31,0.0,3.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,37.0,1.0,4.0,5.0,1.0,8.0,7.0,1.0,1.0,2.0,3.0,4.0,"[3, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 2, 3, 3, 3, 3, 3]",2.9,2.75
32,32,1.0,2.0,2.0,2.0,11.0,1.0,2.0,1.0,2.0,29.0,1.0,3.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 2, 3, 4, 3, 3, 3, 3]",3.0,2.888888888888889
33,33,0.0,1.0,3.0,4.0,12.0,2.0,2.0,1.0,2.0,35.0,2.0,3.0,6.0,1.0,6.0,5.0,1.0,0.0,2.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
34,34,1.0,2.0,5.0,3.0,11.0,2.0,2.0,1.0,1.0,54.0,2.0,4.0,3.0,2.0,10.0,5.0,1.0,1.0,2.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 2]",2.2,2.0
35,35,1.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,2.0,76.0,1.0,3.0,3.0,5.0,11.0,8.0,1.0,1.0,1.0,1.0,3.0,"[2, 2, 2, 3, 3, 3, 3, 2, 2]","[2, 3, 2, 2, 2, 3, 2, 2, 3, 3]",2.4444444444444446,2.4
36,36,1.0,2.0,1.0,2.0,1.0,8.0,2.0,1.0,1.0,77.0,1.0,3.0,1.0,5.0,13.0,8.0,1.0,1.0,1.0,1.0,2.0,"[2, 3, 2, 2, 2, 2, 2, 2, 3, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2]",2.2,2.0
37,37,1.0,5.0,7.0,5.0,2.0,3.0,2.0,1.0,1.0,54.0,1.0,3.0,4.0,5.0,9.0,5.0,1.0,0.0,1.0,1.0,3.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0,1.0
38,38,0.0,2.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,43.0,1.0,4.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 2, 3, 3]","[3, 3, 2, 2, 3, 3, 2, 2, 2, 2]",2.9,2.4
39,39,1.0,5.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,46.0,1.0,5.0,1.0,1.0,15.0,9.0,1.0,1.0,1.0,1.0,4.0,"[2, 5, 5, 4, 4, 5, 4, 5, 5, 5]","[2, 5, 5, 4, 4, 4, 5, 5, 4]",4.4,4.222222222222222
40,40,1.0,3.0,4.0,4.0,11.0,1.0,2.0,1.0,1.0,30.0,2.0,2.0,6.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 1, 2, 2, 2, 2, 2, 2]","[2, 1, 2, 2, 2, 2, 2, 2, 2]",1.8888888888888888,1.8888888888888888
41,41,1.0,2.0,3.0,3.0,11.0,1.0,2.0,1.0,2.0,32.0,1.0,5.0,1.0,1.0,14.0,4.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 4, 3, 4, 3, 3]",3.0,3.2222222222222223
42,42,0.0,3.0,4.0,4.0,6.0,8.0,2.0,1.0,1.0,50.0,1.0,4.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 2, 2, 2, 2, 2, 2, 1, 1]",2.0,1.6666666666666667
43,43,1.0,2.0,1.0,1.0,12.0,6.0,2.0,1.0,1.0,30.0,2.0,2.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,"[4, 5, 4, 4, 2, 4, 2, 4, 2, 2]","[4, 4, 2, 2, 4, 4, 2, 4, 4, 3]",3.3,3.3
44,44,1.0,1.0,7.0,3.0,1.0,8.0,2.0,1.0,2.0,90.0,1.0,3.0,3.0,5.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 2, 2, 1, 2, 1, 1]",2.0,1.5
45,45,0.0,1.0,4.0,4.0,12.0,9.0,2.0,1.0,1.0,68.0,5.0,5.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,3.0,"[1, 1, 2, 1, 2, 1, 2, 2, 1, 1]","[1, 1, 2, 1, 1, 1, 1, 2]",1.4,1.25
46,46,0.0,5.0,1.0,1.0,11.0,4.0,2.0,1.0,2.0,31.0,1.0,5.0,5.0,1.0,13.0,1.0,1.0,1.0,1.0,3.0,4.0,"[4, 4, 4, 4, 4, 2, 4, 4, 2, 4]","[2, 5, 4, 4, 4, 4, 4, 4, 2, 4]",3.6,3.7
47,47,0.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,35.0,1.0,5.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 3, 2, 2, 2, 2, 2, 2, 2]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.1,2.1
48,48,0.0,4.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,28.0,1.0,3.0,1.0,2.0,17.0,9.0,1.0,1.0,1.0,1.0,4.0,"[5, 4, 5, 5, 5, 5, 4, 4, 5]","[5, 4, 5, 5, 5, 5, 5, 2, 5]",4.666666666666667,4.555555555555555
49,49,0.0,3.0,4.0,4.0,2.0,8.0,2.0,1.0,1.0,74.0,1.0,3.0,1.0,5.0,6.0,7.0,0.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 1, 2, 1, 1, 2, 2, 1, 2]",2.0,1.5
50,50,0.0,1.0,1.0,3.0,11.0,1.0,2.0,1.0,2.0,53.0,1.0,5.0,4.0,2.0,10.0,9.0,1.0,1.0,1.0,1.0,3.0,"[4, 3, 3, 3, 4, 3, 3, 3, 3]","[3, 3, 2, 2, 4, 2, 3, 4, 3, 3]",3.2222222222222223,2.9
51,51,0.0,1.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,30.0,1.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,"[2, 3, 3, 2, 3, 3, 3, 3, 3, 3]","[3, 2, 3, 2, 3, 2, 2, 2, 3, 2]",2.8,2.4
52,52,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,43.0,1.0,3.0,3.0,1.0,9.0,5.0,0.0,1.0,2.0,4.0,4.0,"[2, 2, 2, 2, 2, 3, 2, 2, 3, 2]","[2, 2, 2, 2, 2, 2, 2, 2]",2.2,2.0
53,53,0.0,2.0,6.0,5.0,10.0,2.0,2.0,1.0,1.0,39.0,1.0,4.0,5.0,1.0,10.0,3.0,0.0,1.0,2.0,3.0,4.0,"[1, 1, 1, 2, 1, 2, 1, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",1.5,1.1
54,54,0.0,2.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,32.0,6.0,5.0,5.0,1.0,11.0,1.0,1.0,1.0,2.0,3.0,4.0,"[4, 3, 3, 4, 3, 3, 4, 3]","[4, 3, 4, 2, 3, 3, 3, 3, 4]",3.375,3.2222222222222223
55,55,1.0,3.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,61.0,2.0,4.0,4.0,4.0,8.0,5.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 2, 3, 2]","[2, 3, 2, 2, 4, 2, 3, 2, 2, 4]",2.7777777777777777,2.6
56,56,1.0,4.0,7.0,5.0,1.0,5.0,2.0,1.0,2.0,78.0,1.0,3.0,6.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
57,57,0.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,59.0,1.0,3.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 3, 3, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 3, 2]",2.3333333333333335,2.1
58,58,1.0,4.0,3.0,3.0,10.0,1.0,2.0,1.0,2.0,60.0,1.0,3.0,3.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 2, 3, 4, 3, 3]","[4, 2, 2, 3, 3, 2, 3, 4, 2, 3]",3.0,2.8
59,59,1.0,1.0,4.0,3.0,11.0,3.0,2.0,1.0,1.0,35.0,1.0,4.0,1.0,1.0,10.0,8.0,0.0,1.0,2.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 2, 2, 3, 2, 2, 2, 2, 3, 2]",3.0,2.2
60,60,0.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,5.0,5.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 2, 2, 3, 3, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 2, 2, 3, 2, 2]",2.6,2.2
61,61,0.0,1.0,5.0,3.0,12.0,2.0,2.0,1.0,1.0,46.0,1.0,4.0,3.0,1.0,12.0,3.0,1.0,1.0,2.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
62,62,1.0,1.0,4.0,4.0,12.0,2.0,2.0,1.0,2.0,29.0,2.0,2.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0
63,63,1.0,1.0,6.0,3.0,12.0,4.0,2.0,1.0,2.0,65.0,1.0,3.0,1.0,6.0,4.0,5.0,1.0,0.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 3, 2, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 2]",2.2222222222222223,2.0
64,64,0.0,2.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,28.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,2.0,3.0,4.0,"[4, 2, 4, 3, 3, 4, 3, 4, 3, 3]","[4, 2, 4, 4, 2, 4, 4, 2, 2]",3.3,3.111111111111111
65,65,1.0,3.0,2.0,3.0,12.0,2.0,2.0,1.0,1.0,63.0,1.0,4.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 2, 3, 3, 3, 3, 3, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 3, 3]",2.7777777777777777,2.2
66,66,1.0,1.0,6.0,4.0,1.0,9.0,2.0,1.0,1.0,65.0,1.0,5.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,3.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 2, 1, 1, 1, 2, 2]",2.0,1.5
67,67,0.0,4.0,2.0,3.0,11.0,1.0,2.0,1.0,1.0,24.0,1.0,3.0,5.0,1.0,11.0,9.0,1.0,1.0,3.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 3, 3, 2, 3, 3, 3, 3, 3]",3.0,2.8
68,68,1.0,4.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,32.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 4, 4, 3, 3]","[4, 3, 4, 2, 3, 3, 3, 4, 3]",3.2,3.2222222222222223
69,69,0.0,3.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,59.0,6.0,5.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 2, 3, 3, 2, 4, 3, 2]",3.0,2.7777777777777777
70,70,0.0,2.0,6.0,4.0,1.0,5.0,2.0,1.0,2.0,77.0,1.0,2.0,4.0,5.0,10.0,6.0,1.0,1.0,2.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 1, 1, 2, 2, 2, 2]",2.0,1.75
71,71,0.0,4.0,3.0,3.0,2.0,5.0,2.0,1.0,2.0,67.0,1.0,4.0,5.0,5.0,12.0,8.0,1.0,0.0,1.0,1.0,3.0,"[3, 3, 3, 3, 2, 2, 3, 3, 3]","[2, 2, 2, 2, 2, 2, 3, 2]",2.7777777777777777,2.125
72,72,0.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,72.0,1.0,5.0,1.0,5.0,18.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 2, 3, 3, 3, 3, 3]","[4, 2, 2, 2, 2, 2, 2, 3, 3, 4]",2.9,2.6
73,73,0.0,3.0,3.0,3.0,1.0,7.0,2.0,1.0,2.0,82.0,1.0,4.0,1.0,5.0,13.0,4.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 2, 2, 3, 3, 2, 2, 3]","[2, 4, 2, 2, 2, 2, 2, 2, 2, 2]",2.5555555555555554,2.2
74,74,1.0,4.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,82.0,1.0,3.0,2.0,5.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
75,75,0.0,1.0,6.0,4.0,1.0,4.0,2.0,1.0,2.0,64.0,1.0,2.0,1.0,5.0,11.0,6.0,0.0,1.0,1.0,1.0,3.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 1, 1, 2, 1, 1]",2.0,1.6
76,76,0.0,3.0,4.0,3.0,8.0,5.0,2.0,1.0,1.0,48.0,6.0,5.0,1.0,1.0,14.0,7.0,1.0,1.0,1.0,1.0,2.0,"[2, 2, 2, 2, 3, 3, 3, 2, 2, 3]","[3, 2, 2, 3, 2, 2, 2, 2, 2, 2]",2.4,2.2
77,77,1.0,2.0,4.0,3.0,11.0,1.0,2.0,1.0,1.0,60.0,1.0,3.0,3.0,1.0,11.0,8.0,1.0,1.0,3.0,1.0,4.0,"[3, 3, 3, 3, 3, 2, 3, 3, 3]","[2, 3, 2, 2, 2, 2, 2, 2, 2]",2.888888888888889,2.111111111111111
78,78,1.0,2.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,25.0,1.0,3.0,5.0,1.0,9.0,6.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 4, 3, 2, 2, 3, 3, 2, 3]",3.0,2.8
79,79,1.0,1.0,5.0,4.0,1.0,9.0,2.0,1.0,1.0,58.0,1.0,3.0,1.0,6.0,13.0,6.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 1, 1, 1, 2]","[1, 2, 2, 1, 2, 2, 1, 1, 1, 1]",1.6666666666666667,1.4
80,80,1.0,3.0,4.0,3.0,12.0,3.0,2.0,1.0,2.0,22.0,1.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,"[3, 2, 3, 2, 3, 3, 2, 3, 3]","[4, 3, 2, 3, 2, 2, 2, 2, 2, 2]",2.6666666666666665,2.4
81,81,1.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,79.0,1.0,3.0,2.0,5.0,9.0,2.0,1.0,1.0,1.0,2.0,3.0,"[2, 3, 3, 3, 3, 2, 3, 3, 3, 2]","[2, 2, 2, 3, 2, 3, 2, 2, 2]",2.7,2.2222222222222223
82,82,0.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,76.0,1.0,4.0,1.0,5.0,7.0,3.0,0.0,1.0,1.0,1.0,3.0,"[3, 2, 3, 2, 2, 2, 3, 2, 2, 3]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.4,2.1
83,83,0.0,3.0,5.0,4.0,12.0,1.0,2.0,1.0,2.0,65.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 2, 2, 2, 2, 1, 2]",2.0,1.6666666666666667
84,84,0.0,4.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,23.0,2.0,3.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,"[5, 2, 5, 5, 4, 4, 4, 5, 4, 4]","[2, 4, 5, 5, 5, 5, 4, 4, 4]",4.2,4.222222222222222
85,85,1.0,1.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,40.0,1.0,2.0,1.0,7.0,8.0,5.0,1.0,1.0,2.0,3.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
