Unnamed: 0,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,Y1hat_responses,Y0hat_responses,Y1hat,Y0hat
47,0.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,35.0,1.0,5.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.1,2.0
48,0.0,4.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,28.0,1.0,3.0,1.0,2.0,17.0,9.0,1.0,1.0,1.0,1.0,4.0,"[2, 2, 4, 4, 1, 5, 1, 5, 4, 4]","[5, 1, 1, 1, 5, 5, 5, 5, 5, 5]",3.2,3.8
49,0.0,3.0,4.0,4.0,2.0,8.0,2.0,1.0,1.0,74.0,1.0,3.0,1.0,5.0,6.0,7.0,0.0,1.0,1.0,1.0,4.0,"[1, 2, 2, 1, 1, 1, 3, 1, 1, 1]","[2, 1, 2, 2, 2, 1, 2, 1, 1, 1]",1.4,1.5
50,0.0,1.0,1.0,3.0,11.0,1.0,2.0,1.0,2.0,53.0,1.0,5.0,4.0,2.0,10.0,9.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 4, 3, 4, 3, 3, 4, 4, 4, 3]",3.0,3.5
51,0.0,1.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,30.0,1.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
52,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,43.0,1.0,3.0,3.0,1.0,9.0,5.0,0.0,1.0,2.0,4.0,4.0,"[2, 2, 3, 3, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",2.2,1.9
53,0.0,2.0,6.0,5.0,10.0,2.0,2.0,1.0,1.0,39.0,1.0,4.0,5.0,1.0,10.0,3.0,0.0,1.0,2.0,3.0,4.0,"[2, 1, 1, 1, 1, 1, 2, 1, 1, 1]","[1, 2, 2, 1, 1, 1, 1, 2, 1, 1]",1.2,1.3
54,0.0,2.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,32.0,6.0,5.0,5.0,1.0,11.0,1.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 4, 3, 3, 3, 4]","[3, 4, 4, 3, 4, 4, 3, 3, 4, 3]",3.2,3.5
55,1.0,3.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,61.0,2.0,4.0,4.0,4.0,8.0,5.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 4]","[3, 3, 4, 3, 3, 4, 3, 3, 3, 3]",3.2,3.2
56,1.0,4.0,7.0,5.0,1.0,5.0,2.0,1.0,2.0,78.0,1.0,3.0,6.0,5.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
57,0.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,59.0,1.0,3.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 3, 2, 2, 2]",3.0,2.6
58,1.0,4.0,3.0,3.0,10.0,1.0,2.0,1.0,2.0,60.0,1.0,3.0,3.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 4]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.1,3.0
59,1.0,1.0,4.0,3.0,11.0,3.0,2.0,1.0,1.0,35.0,1.0,4.0,1.0,1.0,10.0,8.0,0.0,1.0,2.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
60,0.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,5.0,5.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,2.9
61,0.0,1.0,5.0,3.0,12.0,2.0,2.0,1.0,1.0,46.0,1.0,4.0,3.0,1.0,12.0,3.0,1.0,1.0,2.0,3.0,4.0,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.1,2.0
62,1.0,1.0,4.0,4.0,12.0,2.0,2.0,1.0,2.0,29.0,2.0,2.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,"[3, 3, 3, 2, 3, 2, 2, 2, 2, 3]","[3, 2, 3, 2, 2, 2, 2, 3, 2, 3]",2.5,2.4
63,1.0,1.0,6.0,3.0,12.0,4.0,2.0,1.0,2.0,65.0,1.0,3.0,1.0,6.0,4.0,5.0,1.0,0.0,1.0,1.0,4.0,"[3, 2, 3, 2, 2, 2, 3, 2, 2, 2]","[3, 2, 2, 2, 2, 2, 2, 3, 2, 3]",2.3,2.3
64,0.0,2.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,28.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,2.0,3.0,4.0,"[2, 3, 4, 4, 2, 4, 2, 4, 2, 4]","[4, 4, 4, 3, 4, 5, 2, 2, 4, 4]",3.1,3.6
65,1.0,3.0,2.0,3.0,12.0,2.0,2.0,1.0,1.0,63.0,1.0,4.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
66,1.0,1.0,6.0,4.0,1.0,9.0,2.0,1.0,1.0,65.0,1.0,5.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,1.0,3.0,"[1, 3, 2, 1, 1, 1, 2, 2, 1, 1]","[1, 1, 2, 2, 1, 1, 1, 2, 1, 2]",1.5,1.4
67,0.0,4.0,2.0,3.0,11.0,1.0,2.0,1.0,1.0,24.0,1.0,3.0,5.0,1.0,11.0,9.0,1.0,1.0,3.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
68,1.0,4.0,1.0,2.0,12.0,1.0,2.0,1.0,1.0,32.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 4, 2, 4, 3, 4, 4, 4]","[2, 4, 4, 3, 3, 4, 4, 3, 4, 4]",3.4,3.5
69,0.0,3.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,59.0,6.0,5.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
70,0.0,2.0,6.0,4.0,1.0,5.0,2.0,1.0,2.0,77.0,1.0,2.0,4.0,5.0,10.0,6.0,1.0,1.0,2.0,1.0,4.0,"[2, 2, 2, 1, 1, 1, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 1, 3]",1.7,2.0
71,0.0,4.0,3.0,3.0,2.0,5.0,2.0,1.0,2.0,67.0,1.0,4.0,5.0,5.0,12.0,8.0,1.0,0.0,1.0,1.0,3.0,"[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.1,3.0
72,0.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,72.0,1.0,5.0,1.0,5.0,18.0,8.0,1.0,1.0,1.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 4, 3, 3, 3, 2, 3, 3, 3, 4]",3.0,3.1
73,0.0,3.0,3.0,3.0,1.0,7.0,2.0,1.0,2.0,82.0,1.0,4.0,1.0,5.0,13.0,4.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,2.9
74,1.0,4.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,82.0,1.0,3.0,2.0,5.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0
75,0.0,1.0,6.0,4.0,1.0,4.0,2.0,1.0,2.0,64.0,1.0,2.0,1.0,5.0,11.0,6.0,0.0,1.0,1.0,1.0,3.0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 1, 1, 2, 1, 1, 2, 1, 2]",1.9,1.4
76,0.0,3.0,4.0,3.0,8.0,5.0,2.0,1.0,1.0,48.0,6.0,5.0,1.0,1.0,14.0,7.0,1.0,1.0,1.0,1.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
77,1.0,2.0,4.0,3.0,11.0,1.0,2.0,1.0,1.0,60.0,1.0,3.0,3.0,1.0,11.0,8.0,1.0,1.0,3.0,1.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
78,1.0,2.0,3.0,3.0,10.0,2.0,2.0,1.0,2.0,25.0,1.0,3.0,5.0,1.0,9.0,6.0,1.0,1.0,2.0,3.0,4.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",3.0,3.1
79,1.0,1.0,5.0,4.0,1.0,9.0,2.0,1.0,1.0,58.0,1.0,3.0,1.0,6.0,13.0,6.0,1.0,1.0,1.0,1.0,4.0,"[1, 1, 2, 1, 2, 2, 2, 1, 2, 2]","[1, 2, 1, 2, 1, 1, 2, 1, 1, 1]",1.6,1.3
80,1.0,3.0,4.0,3.0,12.0,3.0,2.0,1.0,2.0,22.0,1.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
81,1.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,79.0,1.0,3.0,2.0,5.0,9.0,2.0,1.0,1.0,1.0,2.0,3.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0
82,0.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,76.0,1.0,4.0,1.0,5.0,7.0,3.0,0.0,1.0,1.0,1.0,3.0,"[3, 3, 3, 3, 2, 2, 3, 3, 3, 3]","[2, 2, 3, 2, 2, 3, 2, 2, 2, 2]",2.8,2.2
83,0.0,3.0,5.0,4.0,12.0,1.0,2.0,1.0,2.0,65.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,"[1, 2, 2, 1, 2, 1, 3, 1, 2, 2]","[1, 2, 2, 1, 2, 1, 2, 2, 1, 2]",1.7,1.6
84,0.0,4.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,23.0,2.0,3.0,5.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,"[2, 5, 4, 4, 2, 5, 2, 4, 1, 4]","[5, 5, 1, 5, 5, 5, 5, 1, 4, 4]",3.3,4.0
85,1.0,1.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,40.0,1.0,2.0,1.0,7.0,8.0,5.0,1.0,1.0,2.0,3.0,4.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1
86,1.0,3.0,2.0,5.0,11.0,1.0,2.0,1.0,1.0,30.0,1.0,3.0,6.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,"[2, 1, 1, 2, 2, 2, 2, 2, 1, 2]","[2, 2, 1, 1, 2, 1, 1, 1, 2, 2]",1.7,1.5
